1, 0, 0.00545, 0.109, 0, 0
2, 0, 0.01105, 0.11050000000000001, 0, 0
4, 0, 0.0212, 0.106, 0, 0
8, 0, 0.039400000000000004, 0.0985, 0, 0
16, 0, 0.0692, 0.0865, 0, 0
32, 0, 0.11879999999999999, 0.07425, 0, 0
64, 0, 0.18935, 0.059171875, 0, 0
128, 0, 0.28445, 0.0444453125, 0, 0
256, 0, 0.40385, 0.03155078125, 0, 0
512, 0, 0.52495, 0.020505859375, 0, 0
1024, 0, 0.6482, 0.01266015625, 0, 0
2048, 0, 0.754, 0.00736328125, 0, 0
4096, 0, 0.8378500000000001, 0.004091064453125, 0, 0
8192, 0, 0.8977999999999999, 0.00219189453125, 0, 0
16384, 0, 0.9345000000000001, 0.0011407470703125, 0, 0
32768, 0, 0.9574, 0.0005843505859375, 0, 0
65536, 0, 0.97205, 0.0002966461181640625, 0, 0
131072, 0, 0.9826, 0.000149932861328125, 0, 0
262144, 0, 0.98995, 7.552719116210937e-05, 0, 0
524288, 0, 0.9943500000000001, 3.793144226074219e-05, 0, 0
1048576, 0, 0.99785, 1.9032478332519532e-05, 0, 0
2097152, 0, 0.9996499999999999, 9.533405303955077e-06, 0, 0
4194304, 0, 1.0, 8.545646356371399e-06, 0, 0
