# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/1_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>,  M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.3150220215320587 max norm: 0.8120635747909546 min norm: 0.019918207079172134
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.079, 0.079, 0, 1
2, 0, 0.132, 0.066, 0, 2
4, 0, 0.216, 0.054, 0, 4
8, 0, 0.337, 0.042125, 0, 8
16, 0, 0.449, 0.0280625, 0, 16
32, 0, 0.598, 0.0186875, 0, 32
64, 0, 0.749, 0.011703125, 0, 64
128, 0, 0.858, 0.006703125, 0, 128
256, 0, 0.918, 0.0035859375, 0, 256
512, 0, 0.967, 0.001888671875, 0, 512
1024, 0, 0.983, 0.0009599609375, 0, 1024
2048, 0, 0.997, 0.00048681640625, 0, 2048
4096, 0, 0.999, 0.000243896484375, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 3.0517578125e-05, 0, 32768
65536, 0, 1.0, 1.52587890625e-05, 0, 65536
131072, 0, 1.0, 7.62939453125e-06, 0, 131072
262144, 0, 1.0, 7.313362976831266e-06, 0, 136736
