# load the base data ../data/movielens/movielens_base.fvecs, 
# load the queries ../data/movielens/movielens_query.fvecs, 
# load the ground truth ../data/movielens/20_movielens_product_groundtruth.ivecs
# ranking metric product
# AQ, M: 2, Ks : 256, code_dtype: <class 'numpy.int32'>
# compress items
# Mean AQ quantization error: 0.146987
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.03875, 0.775, 0, 1
2, 0, 0.06115, 0.6115, 0, 2
4, 0, 0.0979, 0.4895, 0, 4
8, 0, 0.1562, 0.3905, 0, 8
16, 0, 0.23759999999999998, 0.297, 0, 16
32, 0, 0.33694999999999997, 0.21059374999999997, 0, 32
64, 0, 0.45065, 0.140828125, 0, 64
128, 0, 0.57955, 0.09055468750000001, 0, 128
256, 0, 0.72145, 0.05636328125, 0, 256
512, 0, 0.83765, 0.032720703125, 0, 512
1024, 0, 0.9215500000000001, 0.0179990234375, 0, 1024
2048, 0, 0.9691000000000001, 0.0094638671875, 0, 2048
4096, 0, 0.99175, 0.004842529296875, 0, 4096
8192, 0, 0.99895, 0.0024388427734375, 0, 8192
16384, 0, 1.0, 0.0018731853516905498, 0, 10677
